date,spx_tr,tsy_3m,margin_rate,cpi
1952-06-18,2.742059349,0.03,0.034,26.5000
1952-06-19,2.751038659,0.03,0.034,26.5000
1952-06-20,2.760017969,0.03,0.034,26.5000
1952-06-23,2.756650647,0.03,0.034,26.5000
1952-06-24,2.761140409,0.03,0.034,26.5000
1952-06-25,2.767874838,0.03,0.034,26.5000
1952-06-26,2.777976588,0.03,0.034,26.5000
1952-06-27,2.786955898,0.03,0.034,26.5000
1952-06-30,2.801547196,0.03,0.034,26.5000
1952-07-01,2.834738966,0.03,0.034,26.7000
1952-07-02,2.827967938,0.03,0.034,26.7000
1952-07-03,2.826839433,0.03,0.034,26.7000
1952-07-07,2.817811611,0.03,0.034,26.7000
1952-07-08,2.816683107,0.03,0.034,26.7000
1952-07-09,2.80539849,0.03,0.034,26.7000
1952-07-10,2.799755967,0.03,0.034,26.7000
1952-07-11,2.818940116,0.03,0.034,26.7000
1952-07-14,2.824582639,0.03,0.034,26.7000
1952-07-15,2.83925277,0.03,0.034,26.7000
1952-07-16,2.83925277,0.03,0.034,26.7000
1952-07-17,2.826839433,0.03,0.034,26.7000
1952-07-18,2.804269986,0.03,0.034,26.7000
1952-07-21,2.815554817,0.03,0.034,26.7000
1952-07-22,2.821197125,0.03,0.034,26.7000
1952-07-23,2.833610461,0.03,0.034,26.7000
1952-07-24,2.848280592,0.03,0.034,26.7000
1952-07-25,2.83925277,0.03,0.034,26.7000
1952-07-28,2.843766788,0.03,0.034,26.7000
1952-07-29,2.850537601,0.03,0.034,26.7000
1952-07-30,2.862950937,0.03,0.034,26.7000
1952-07-31,2.866336236,0.03,0.034,26.7000
1952-08-01,2.881144277,0.03,0.034,26.7000
1952-08-04,2.878880065,0.03,0.034,26.7000
1952-08-05,2.882276167,0.03,0.034,26.7000
1952-08-06,2.880012171,0.03,0.034,26.7000
1952-08-07,2.889068804,0.03,0.034,26.7000
1952-08-08,2.892464907,0.03,0.034,26.7000
1952-08-11,2.889068804,0.03,0.034,26.7000
1952-08-12,2.865295007,0.03,0.034,26.7000
1952-08-13,2.861898905,0.03,0.034,26.7000
1952-08-14,2.861898905,0.03,0.034,26.7000
1952-08-15,2.852842271,0.03,0.034,26.7000
1952-08-18,2.823408159,0.03,0.034,26.7000
1952-08-19,2.817747629,0.03,0.034,26.7000
1952-08-20,2.824540265,0.03,0.034,26.7000
1952-08-21,2.827936368,0.03,0.034,26.7000
1952-08-22,2.829068474,0.03,0.034,26.7000
1952-08-25,2.815483632,0.03,0.034,26.7000
1952-08-26,2.810955208,0.03,0.034,26.7000
1952-08-27,2.823408159,0.03,0.034,26.7000
1952-08-28,2.826804262,0.03,0.034,26.7000
1952-08-29,2.833596899,0.03,0.034,26.7000
1952-09-02,2.856413407,0.03,0.034,26.7000
1952-09-03,2.867770959,0.03,0.034,26.7000
1952-09-04,2.866635182,0.03,0.034,26.7000
1952-09-05,2.863227851,0.03,0.034,26.7000
1952-09-08,2.851870516,0.03,0.034,26.7000
1952-09-09,2.823476744,0.03,0.034,26.7000
1952-09-10,2.804168971,0.03,0.034,26.7000
1952-09-11,2.807576085,0.03,0.034,26.7000
1952-09-12,2.806440308,0.03,0.034,26.7000
1952-09-15,2.776910976,0.03,0.034,26.7000
1952-09-16,2.785996974,0.03,0.034,26.7000
1952-09-17,2.791675642,0.03,0.034,26.7000
1952-09-18,2.78372542,0.03,0.034,26.7000
1952-09-19,2.790539865,0.03,0.034,26.7000
1952-09-22,2.792811418,0.03,0.034,26.7000
1952-09-23,2.805304747,0.03,0.034,26.7000
1952-09-24,2.815526523,0.03,0.034,26.7000
1952-09-25,2.81779786,0.03,0.034,26.7000
1952-09-26,2.808711861,0.03,0.034,26.7000
1952-09-29,2.803033194,0.03,0.034,26.7000
1952-09-30,2.787132751,0.03,0.034,26.7000
1952-10-01,2.789503064,0.03,0.034,26.7000
1952-10-02,2.79406118,0.03,0.034,26.7000
1952-10-03,2.791782122,0.03,0.034,26.7000
1952-10-06,2.784945166,0.03,0.034,26.7000
1952-10-07,2.78038705,0.03,0.034,26.7000
1952-10-08,2.800898137,0.03,0.034,26.7000
1952-10-09,2.799758608,0.03,0.034,26.7000
1952-10-10,2.79747955,0.03,0.034,26.7000
1952-10-14,2.789503064,0.03,0.034,26.7000
1952-10-15,2.741643933,0.03,0.034,26.7000
